id,cntry,country,sex,agea,yrbrn,mars_status,region_cat,education_level,main_activity,occupation,feel_income,born_in_cntry,citizen,minority_ethnic,left_right,church,hhmmb,locality,voted,backstory,dweight,pspwght,pweight,anweight,stratum,psu
184,GB,United Kingdom,Male,46.0,1972.0,Legally divorced / Civil partnership dissolved,UKD,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",Paid work,Technician or associate professional,Living comfortably on present income,No,No,No,5.0,Once a week,4.0,Town or small city,No,"I am a male. I am 46 years old and I was born in 1972. I am Legally divorced / Civil partnership dissolved. I am from North West (England). I was not born in this country. I am not a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 21. In the last week I have mainly been paid work. My occupation is Regulatory government associate professionals not elsewhere classified. I am currently a member of a trade union. My household income is in the 10th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 9. On a scale from 0 to 10, my life satisfaction is 9. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 3. On a scale from 0 to 10, I believe most people try to be fair: 4. On a scale from 0 to 10, I believe most people try to be helpful: 6. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 7. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 8. On a scale from 0 to 10, my trust in politicians is 3. I have felt discriminated against in the last 12 months.",1.528159499168396,1.7110010385513306,2.4683315753936768,4.223318099975586,1560,12242
269,GB,United Kingdom,Female,35.0,1983.0,Legally separated,UKM,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",Paid work,Professional,Coping on present income,Yes,Yes,Yes,3.0,Never,4.0,Town or small city,Yes,"I am a female. I am 35 years old and I was born in 1983. I am legally separated. I am from Scotland. I was born in this country. I am a citizen of this country. I belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 17. In the last week I have mainly been paid work. My occupation is Accountants. I have never been a member of a trade union. My household income is in the 5th decile nationally. I would say that we are coping on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues less than once a month. On a scale from 0 to 10, I believe most people can be trusted: 0. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 5. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 3. I voted in the last general election. I voted for Scottish National Party. On a scale from 0 to 10, my trust in parliament is 0. On a scale from 0 to 10, my trust in politicians is 0. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.45528388023376465,2.4683315753936768,1.1237915754318237,1539,12233
272,GB,United Kingdom,Female,63.0,1956.0,Legally divorced / Civil partnership dissolved,UKE,"Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC",Permanently sick or disabled,Elementary occupation,Coping on present income,Yes,Yes,No,2.0,Never,1.0,Country village,Yes,"I am a female. I am 63 years old and I was born in 1956. I am Legally divorced / Civil partnership dissolved. I am from Yorkshire and the Humber. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC. I finished my full-time education at age 16. In the last week I have mainly been permanently sick or disabled. My occupation is Cleaners and helpers in offices, hotels and other establishments. I am currently a member of a trade union. My household income is in the 1st decile nationally. I would say that we are coping on present income. I would describe my general health as bad. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 7. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 4. On a scale from 0 to 10, I believe most people try to be fair: 0. On a scale from 0 to 10, I believe most people try to be helpful: 3. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 2. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 2. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 5. On a scale from 0 to 10, my trust in politicians is 4. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.42711421847343445,2.4683315753936768,1.0542595386505127,1576,12309
384,GB,United Kingdom,Female,25.0,1993.0,None of these (NEVER married or in legally registered civil partnership),UKD,None of these,Paid work,Manager,Living comfortably on present income,No,No,No,,Never,1.0,A big city,No,"I am a female. I am 25 years old and I was born in 1993. I am never married or in a civil partnership. I am from North West (England). I was not born in this country. I am not a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 18. In the last week I have mainly been paid work. My occupation is Restaurant managers. I have never been a member of a trade union. My household income is in the 4th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 2. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 4. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 4. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am hardly interested in politics. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 7. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.6530607342720032,2.4683315753936768,1.6119704246520996,1488,12331
443,GB,United Kingdom,Female,62.0,1956.0,,UKE,"Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC",Paid work,Clerical support worker,Coping on present income,Yes,Yes,No,,Never,2.0,Suburbs or outskirts of big city,Yes,"I am a female. I am 62 years old and I was born in 1956. I am single. I am from Yorkshire and the Humber. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC. I finished my full-time education at age 18. In the last week I have mainly been paid work. My occupation is Bank tellers and related clerks. I have never been a member of a trade union. My household income is in the 4th decile nationally. I would say that we are coping on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 10. On a scale from 0 to 10, my life satisfaction is 10. I meet socially with friends, relatives or colleagues several times a month. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 5. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am hardly interested in politics. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 5. On a scale from 0 to 10, my trust in politicians is 0. I have not felt discriminated against in the last 12 months.",1.0187729597091675,0.8542284369468689,2.4683315753936768,2.1085190773010254,1585,12376
445,GB,United Kingdom,Male,82.0,1936.0,Widowed / Civil partner died,UKF,None of these,Retired,Craft or related trades worker,Living comfortably on present income,Yes,Yes,No,9.0,Less often,1.0,Town or small city,Yes,"I am a male. I am 82 years old and I was born in 1936. I am Widowed / Civil partner died. I am from East Midlands (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 15. In the last week I have mainly been retired. My occupation is Metal working machine tool setters and operators. I was previously a member of a trade union but am not now. I would say that we are living comfortably on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 9. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 8. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 9. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 5. On a scale from 0 to 10, my trust in politicians is 6. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.39510953426361084,2.4683315753936768,0.9752613306045532,1589,12388
446,GB,United Kingdom,Female,73.0,1945.0,Legally divorced / Civil partnership dissolved,UKH,None of these,Retired,Technician or associate professional,Living comfortably on present income,Yes,Yes,No,7.0,Only on special holy days,1.0,Town or small city,Yes,"I am a female. I am 73 years old and I was born in 1945. I am Legally divorced / Civil partnership dissolved. I am from East of England. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 17. In the last week I have mainly been retired. My occupation is Administrative and executive secretaries. I have never been a member of a trade union. My household income is in the 3rd decile nationally. I would say that we are living comfortably on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 4. On a scale from 0 to 10, my life satisfaction is 2. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 7. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 4. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 7. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 6. On a scale from 0 to 10, my trust in politicians is 3. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.4164525270462036,2.4683315753936768,1.0279428958892822,1452,12133
455,GB,United Kingdom,Female,40.0,1978.0,None of these (NEVER married or in legally registered civil partnership),UKG,"Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC",Paid work,Elementary occupation,Coping on present income,Yes,Yes,No,5.0,Less often,4.0,Town or small city,No,"I am a female. I am 40 years old and I was born in 1978. I am never married or in a civil partnership. I am from West Midlands (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC. I finished my full-time education at age 18. In the last week I have mainly been paid work. My occupation is Shelf fillers. I was previously a member of a trade union but am not now. My household income is in the 3rd decile nationally. I would say that we are coping on present income. I would describe my general health as bad. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 7. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 3. On a scale from 0 to 10, I believe most people try to be helpful: 6. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 5. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 8. On a scale from 0 to 10, my trust in politicians is 8. I have not felt discriminated against in the last 12 months.",1.0187729597091675,1.206358790397644,2.4683315753936768,2.977693557739258,1413,12396
471,GB,United Kingdom,Male,70.0,1948.0,,UKL,Other,Retired,Professional,Living comfortably on present income,Yes,Yes,No,4.0,Never,2.0,Town or small city,Yes,"I am a male. I am 70 years old and I was born in 1948. I am single. I am from Wales. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Other. I finished my full-time education at age 16. In the last week I have mainly been retired. My occupation is Lawyers. I was previously a member of a trade union but am not now. My household income is in the 10th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 3. On a scale from 0 to 10, I believe most people try to be fair: 7. On a scale from 0 to 10, I believe most people try to be helpful: 7. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 3. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 4. I voted in the last general election. I voted for Plaid Cymru. On a scale from 0 to 10, my trust in parliament is 4. On a scale from 0 to 10, my trust in politicians is 5. I have not felt discriminated against in the last 12 months.",1.0187729597091675,1.0036734342575073,2.4683315753936768,2.4773988723754883,1527,12207
527,GB,United Kingdom,Male,62.0,1956.0,,UKM,"Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC",Retired,Craft or related trades worker,,Yes,Yes,No,7.0,Never,2.0,Farm or home in countryside,Yes,"I am a male. I am 62 years old and I was born in 1956. I am single. I am from Scotland. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC. I finished my full-time education at age 21. In the last week I have mainly been retired. My occupation is House builders. I was previously a member of a trade union but am not now. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 9. I meet socially with friends, relatives or colleagues never. On a scale from 0 to 10, I believe most people can be trusted: 2. On a scale from 0 to 10, I believe most people try to be fair: 6. On a scale from 0 to 10, I believe most people try to be helpful: 5. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 7. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 0. On a scale from 0 to 10, my trust in politicians is 1. I have felt discriminated against in the last 12 months.",1.0187729597091675,0.8849895596504211,2.4683315753936768,2.184447765350342,1544,12143
